OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
1,f070032d,09/06/1940 07:30:00 PM,Friday,Sep,6,1940,19,9,7,2010,BURGLARY,FELONY,D,66,BROOKLYN,N.Y. POLICE DEPT,987478,166141,"(40.6227027620001, -73.9883732929999)"
2,c6245d4d,12/14/1968 12:20:00 AM,Saturday,Dec,14,1968,0,12,14,2008,GRAND LARCENY,FELONY,G,28,MANHATTAN,N.Y. POLICE DEPT,996470,232106,"(40.8037530600001, -73.955861904)"
3,716dbc6f,10/30/1970 03:30:00 PM,Friday,Oct,30,1970,15,10,31,2008,BURGLARY,FELONY,H,84,BROOKLYN,N.Y. POLICE DEPT,986508,190249,"(40.688874254, -73.9918594329999)"
4,638cd7b7,07/18/1972 11:00:00 PM,Tuesday,Jul,18,1972,23,7,19,2012,GRAND LARCENY OF MOTOR VEHICLE,FELONY,F,73,BROOKLYN,N.Y. POLICE DEPT,1005876,182440,"(40.6674141890001, -73.9220463899999)"
5,6e410287,05/21/1987 12:01:00 AM,Thursday,May,21,1987,0,5,28,2009,GRAND LARCENY,FELONY,K,75,BROOKLYN,N.Y. POLICE DEPT,1017958,182266,"(40.6668988440001, -73.878495425)"
6,7eebfe3c,02/01/1990 09:00:00 AM,Thursday,Feb,1,1990,9,9,17,2014,GRAND LARCENY,FELONY,K,105,QUEENS,N.Y. POLICE DEPT,1058407,204788,"(40.7284698170001, -73.7324430589999)"
7,da21f94f,11/13/1990 12:01:00 AM,Tuesday,Nov,13,1990,0,6,7,2007,GRAND LARCENY,FELONY,,73,BROOKLYN,N.Y. HOUSING POLICE,1010272,183760,"(40.671025464, -73.906195082)"
8,87c99e8c,02/02/1992 04:00:00 PM,Sunday,Feb,2,1992,16,3,27,2012,GRAND LARCENY,FELONY,,101,QUEENS,N.Y. POLICE DEPT,1053678,159044,"(40.6029515910001, -73.749976261)"
9,495f57e1,08/08/1994 06:00:00 PM,Monday,Aug,8,1994,18,7,31,2008,RAPE,FELONY,A,103,QUEENS,N.Y. POLICE DEPT,1041749,196938,"(40.707047475, -73.792611904)"
10,31c0b727,10/26/1994 12:01:00 AM,Wednesday,Oct,26,1994,0,6,4,2008,GRAND LARCENY,FELONY,D,17,MANHATTAN,N.Y. POLICE DEPT,992029,213332,"(40.7522284, -73.971924858)"
11,c43b188b,02/01/1995 08:00:00 AM,Wednesday,Feb,1,1995,8,3,6,2009,RAPE,FELONY,G,83,BROOKLYN,N.Y. POLICE DEPT,1006965,193571,"(40.697963515, -73.9180833619999)"
12,81770cd9,02/01/1996 03:00:00 PM,Thursday,Feb,1,1996,15,8,7,2007,GRAND LARCENY,FELONY,B,71,BROOKLYN,N.Y. POLICE DEPT,997457,181411,"(40.664606373, -73.9523962929999)"
13,cb5b6e80,04/15/1998 09:00:00 AM,Wednesday,Apr,15,1998,9,12,7,2006,GRAND LARCENY,FELONY,E,43,BRONX,N.Y. POLICE DEPT,1018182,239891,"(40.82506399, -73.8773972609999)"
14,fa2de4a8,11/09/1998 08:00:00 AM,Monday,Nov,9,1998,8,4,22,2006,GRAND LARCENY,FELONY,A,30,MANHATTAN,N.Y. POLICE DEPT,996889,239161,"(40.8231164790001, -73.954335162)"
15,20a353dd,12/21/1998 12:00:00 AM,Monday,Dec,21,1998,0,3,9,2007,GRAND LARCENY,FELONY,M,44,BRONX,N.Y. POLICE DEPT,1004850,244753,"(40.838449934, -73.925553911)"
16,875e9b22,04/15/1999 09:00:00 AM,Thursday,Apr,15,1999,9,4,7,2010,GRAND LARCENY,FELONY,D,73,BROOKLYN,N.Y. POLICE DEPT,1007783,185486,"(40.6757699120001, -73.9151616139999)"
17,4e7b80e0,11/09/1999 08:00:00 AM,Tuesday,Nov,9,1999,8,5,23,2008,GRAND LARCENY,FELONY,J,43,BRONX,N.Y. POLICE DEPT,1021767,245307,"(40.839914838, -73.864413554)"
18,9d617db6,01/09/2000 08:00:00 PM,Sunday,Jan,9,2000,20,11,6,2006,RAPE,FELONY,G,108,QUEENS,N.Y. POLICE DEPT,996793,210001,"(40.7430801680001, -73.954736461)"
19,6d81a2b9,01/09/2000 09:30:00 PM,Sunday,Jan,9,2000,21,1,9,2006,ROBBERY,FELONY,E,47,BRONX,N.Y. POLICE DEPT,1024562,263549,"(40.8899712210001, -73.854202605)"
20,f7d373fa,02/11/2000 10:00:00 AM,Friday,Feb,11,2000,10,1,10,2006,GRAND LARCENY,FELONY,K,43,BRONX,N.Y. POLICE DEPT,1023266,244631,"(40.838052921, -73.859000051)"
